,Units,People,NT dollars,領先指標綜合指數(點),領先指標不含趨勢指數(點),外銷訂單動向指數(以家數計),貨幣總計數 M1B(百萬元),股價指數(Index 1966=100),工業及服務業受僱員工淨進入率(%),建築物開工樓地板面積(千平方公尺),半導體設備進口值(新台幣百萬元)
2016-04-30,646740,494755,3339348556,100.13,99.36,49.61,15415157.0,8568.0,0.05,1399.0,30181.0
2016-05-31,647841,491540,3320066240,100.75,99.77,50.45,15479035.0,8235.0,0.1,1450.0,53272.0
2016-06-30,626222,482408,3220463290,101.45,100.24,48.59,15391712.0,8595.0,0.12,1512.0,47092.0
2016-07-31,620540,478237,3204103712,102.2,100.75,49.89,15496601.0,8900.0,0.53,1249.0,56302.0
2016-08-31,629334,479580,3270332585,102.93,101.23,49.47,15747945.0,9094.0,0.16,1237.0,54349.0
2016-09-30,621588,476494,3227641830,103.59,101.63,49.58,15872722.0,9131.0,-0.04,1210.0,49447.0
2016-10-31,619047,473936,3180583198,104.14,101.9,49.93,15835378.0,9274.0,0.13,1454.0,65389.0
2016-11-30,615909,470553,3205094427,104.54,102.03,47.05,15895721.0,9098.0,0.22,1401.0,50358.0
2016-12-31,606144,466241,3149472672,104.87,102.09,38.11,16001058.0,9245.0,0.16,1832.0,58365.0
2017-01-31,472237,385447,2420542262,105.2,102.14,46.6,16244054.0,9352.0,0.08,1206.0,52381.0
2017-02-28,565380,443000,2877805785,105.48,102.14,63.04,16238168.0,9674.0,-0.09,906.0,42618.0
2017-03-31,726704,465890,3656927171,105.71,102.08,50.33,16114960.0,9796.0,0.2,2067.0,46911.0
2017-04-30,583725,453960,2965809083,105.91,102.0,52.26,16064145.0,9801.0,0.1,1319.0,51271.0
2017-05-31,593932,453707,2982903791,106.17,101.97,50.57,16088751.0,9994.0,0.12,1700.0,43262.0
2017-06-30,601945,456365,3089723244,106.49,101.99,48.62,16074104.0,10259.0,0.2,2066.0,32485.0
2017-07-31,607463,459044,3161032277,106.82,102.03,50.79,16265513.0,10426.0,0.63,1683.0,27883.0
2017-08-31,622012,463680,3275836905,107.16,102.08,50.19,16552266.0,10436.0,0.13,1987.0,27889.0
2017-09-30,630169,468700,3477431896,107.49,102.13,48.34,16589043.0,10501.0,-0.04,1506.0,38685.0
2017-10-31,643333,474808,3517669433,107.84,102.19,48.66,16564701.0,10684.0,0.11,1594.0,47290.0
2017-11-30,663852,482157,3756481238,108.17,102.23,48.17,16594359.0,10743.0,0.22,1808.0,34168.0
2017-12-31,664380,484758,3731479251,108.41,102.2,46.5,16645671.0,10501.0,0.11,2196.0,43862.0
2018-01-31,653509,464369,3571179601,108.56,102.08,31.32,16748718.0,11005.0,0.13,1848.0,42259.0
2018-02-28,597582,438511,3213725613,108.68,101.95,67.84,17075537.0,10718.0,-0.33,1035.0,31871.0
2018-03-31,699979,470224,3886027072,108.88,101.89,50.97,16994742.0,10904.0,0.14,1788.0,40575.0
2018-04-30,641393,464583,3544159208,109.22,101.97,53.86,16963770.0,10796.0,0.02,1800.0,33230.0
2018-05-31,667097,470240,3694437883,109.56,102.05,50.92,17110043.0,10818.0,0.09,2592.0,35833.0
2018-06-30,665887,472933,3752700100,109.75,102.0,50.37,17022644.0,10987.0,0.06,2138.0,30449.0
2018-07-31,675458,475701,3737438784,109.73,101.76,49.73,17201629.0,10840.0,0.64,2207.0,42447.0
2018-08-31,669138,476427,3747091284,109.52,101.36,48.81,17414867.0,10909.0,0.1,1736.0,49238.0
2018-09-30,641850,470317,3487948652,109.22,100.86,47.75,17454864.0,10884.0,-0.1,2102.0,46900.0
2018-10-31,643532,463807,3496136298,108.92,100.38,45.42,17444488.0,10088.0,0.14,1857.0,41215.0
2018-11-30,605452,453258,3240037933,108.78,100.05,44.66,17438972.0,9821.0,0.17,2149.0,28834.0
2018-12-31,586490,444690,3109482688,108.94,99.99,43.53,17592801.0,9747.0,0.1,1974.0,44354.0
2019-01-31,583881,445392,3047415147,109.47,100.27,31.67,17845836.0,9765.0,0.11,1999.0,51315.0
2019-02-28,531850,416179,2751917598,110.33,100.86,67.14,18095040.0,10210.0,-0.27,1323.0,40214.0
2019-03-31,628426,449411,3246070415,111.34,101.58,51.59,18162075.0,10445.0,0.11,1982.0,78319.0
