,Units,People,NT dollars,合計,外資,外資及陸資,外資及陸資(不含外資自營商),外資自營商,投信,自營商,自營商(自行買賣),自營商(避險)
2016-04-30,646740,494755,3339348556,279214889.2631579,,829259626.3157895,,,-286194733.2105263,,-106006493.68421052,-157843510.15789473
2016-05-31,647841,491540,3320066240,-2821003284.7619047,,-3520436013.571429,,,85857791.09523809,,-6858247.0,620433184.7142857
2016-06-30,626222,482408,3220463290,2844556980.8095236,,3911183048.952381,,,-111215819.57142857,,199858396.33333334,-1155268644.9047618
2016-07-31,620540,478237,3204103712,7919726672.75,,8384259874.0,,,5621167.8,,235524625.55,-705678994.6
2016-08-31,629334,479580,3270332585,2280605419.3913045,,3088445355.869565,,,-252029141.39130434,,-80688941.26086956,-475121853.82608694
2016-09-30,621588,476494,3227641830,-804276331.3157895,,130762286.89473684,,,-19214484.63157895,,-162531752.2631579,-753292381.3157895
2016-10-31,619047,473936,3180583198,45723800.55,,-92955284.65,,,15279912.85,,-89295060.55,212694232.9
2016-11-30,615909,470553,3205094427,-3895269784.590909,,-4372521006.818182,,,66994100.63636363,,59178327.31818182,351078794.27272725
2016-12-31,606144,466241,3149472672,-145359176.1818182,,88315510.95454545,,,4673.045454545455,,-31100789.318181816,-202578570.86363637
2017-01-31,472237,385447,2420542262,2766499166.6875,,2874970824.5,,,189969936.875,,-92241193.5625,-206200401.125
2017-02-28,565380,443000,2877805785,2966671508.3333335,,2738854135.111111,,,-115098749.16666667,,212121012.3888889,130795110.0
2017-03-31,726704,465890,3656927171,2739526351.478261,,3059061024.4347825,,,-148744848.6956522,,-49395532.43478261,-121394291.82608695
2017-04-30,583725,453960,2965809083,1559944435.7777777,,1783470473.0,,,-294559292.6666667,,-67680337.66666667,138713593.1111111
2017-05-31,593932,453707,2982903791,2965743339.65,,2490307425.8,,,51744486.6,,10608805.4,413082621.85
2017-06-30,601945,456365,3089723244,2837243575.9444447,,2216614907.111111,,,-339901245.9444444,,417220034.4444444,543309880.3333334
2017-07-31,607463,459044,3161032277,-515311357.85714287,,-249220713.76190478,,,-407636731.85714287,,-188160061.14285713,329706148.9047619
2017-08-31,622012,463680,3275836905,-672150403.2173913,,-278190834.26086956,,,-60164843.91304348,,-280509657.3043478,-53285067.73913044
2017-09-30,630169,468700,3477431896,-3471398191.6363635,,-2819610988.2727275,,,-248617553.22727272,,-207697984.54545453,-195471665.5909091
2017-10-31,643333,474808,3517669433,2987683379.0526314,,2321730615.0526314,,,89677114.21052632,,5105979.2105263155,571169670.5789474
2017-11-30,663852,482157,3756481238,-2176204327.681818,,-2157245782.409091,,,-200887323.5,,-86445688.5909091,268374466.8181818
2017-12-31,664380,484758,3731479251,-2315371678.904762,,-3732793389.6363635,703277290.1,0.0,-17140175.285714287,,-288148106.0952381,-389704617.28571427
2018-01-31,653509,464369,3571179601,4165268439.681818,,,3442751454.2727275,-9982430.909090908,-57556095.90909091,,250482884.6818182,529590196.6363636
2018-02-28,597582,438511,3213725613,-8361756427.538462,,,-7641590192.230769,-7846567.692307692,138384731.23076922,,-254539472.07692307,-604011494.4615384
2018-03-31,699979,470224,3886027072,-3127683532.2173915,,,-1953949134.652174,-6215069.130434782,-222463931.6956522,,60566636.08695652,-1011837101.9565217
2018-04-30,641393,464583,3544159208,-3721933190.923077,,,-3038014211.5384617,-23463396.153846152,172078991.46153846,,77476223.92307693,-933474194.7692307
2018-05-31,667097,470240,3694437883,-3098131128.9411764,,,-2458393869.9411764,5948625.294117647,-136901327.52941176,,74911543.1764706,-577747474.6470588
2018-06-30,665887,472933,3752700100,-4063801260.65,,,-4166541823.55,6021749.0,-3348024.65,,117877549.0,-11788961.45
2018-07-31,675458,475701,3737438784,532345340.72727275,,,371594277.8636364,5855627.2727272725,218426217.3181818,,30775159.227272727,-88450313.68181819
2018-08-31,669138,476427,3747091284,797275012.826087,,,1418691323.347826,6951663.043478261,401036318.6956522,,-509948211.3043478,-512504417.9130435
2018-09-30,641850,470317,3487948652,3330530238.736842,,,3468643375.368421,190703.68421052632,-45986269.315789476,,-190136649.52631578,98009782.21052632
2018-10-31,643532,463807,3496136298,-7404311330.727273,,,-6496380850.0,-3199796.8181818184,-350827064.77272725,,-279886067.45454544,-277217348.5
2018-11-30,605452,453258,3240037933,108600356.27272727,,,471595550.59090906,1766653.6363636365,51609972.13636363,,5337657.954545454,-419942824.40909094
2018-12-31,586490,444690,3109482688,-4040796979.142857,,,-3187553689.571429,3536618.5714285714,-23687817.666666668,,-288898770.2380952,-540656701.6666666
2019-01-31,583881,445392,3047415147,2863635764.5238094,,,1759856800.8095238,360949.04761904763,112074591.61904761,,264656685.7142857,727047686.3809524
2019-02-28,531850,416179,2751917598,5748197848.923077,,,4978684862.307693,-90203.84615384616,-144619902.84615386,,108753931.15384616,805378958.3076923
2019-03-31,628426,449411,3246070415,343777272.8,,,84229731.7,-466667.5,22487093.15,,114912282.4,122148165.55
